"district_id","district_name","block_id","block_name","cluster_id","cluster_name","school_id","school_name","school_management_id","total_students","students_reviewed","gujarati_udayman","gujarati_pragatishil","gujarati_nipun","maths_udayman","maths_pragatishil","maths_nipun"
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203537",SAHYOG HINDI VIDHYALAY,5,218,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203545",SANSKAR BHARTI HINDI VIDYALAYA,5,297,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203557",SARASWATI VIDHYAMANDIR PRA SHALA( HINDI),5,107,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203563",SIDHNATH VIDHA NIKETAN HINDI PRI SCH,5,106,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203587",SOMNATH PRI SCHOOL,5,233,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203441",SWASTIK PRATHMIK SHALA,5,40,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203579",TRIVENI VIDHYA VIHAR (HINDI),5,255,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120003",AMBIKA HINDI SCHOOL NO-1,"24071203425",YAMINI PRIMARY SCHOOL,5,285,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204125",AMBIKA PRI SCHOOL,5,151,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203206",AMRAIWADI - 10,10,251,251,75,113,63,53,144,54
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204103",AMRAIWADI-14,10,337,337,118,124,95,124,114,99
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203209",AMRAIWADI - 16,10,136,136,38,68,30,35,67,34
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204102",AMRAIWADI - 4,10,164,164,37,90,37,38,90,36
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204122",ANJLI VIDHYALAY,5,20,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203326",ASWMEGH  PRI SCHOOL,5,125,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203219",CONVENT ENG. SCHHOL,5,258,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204124",GAYTRI PRI SCHOOL,5,149,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203566",GYANDIP PRIMARY SCHOOL,5,248,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24070501716",KASHIBA KANYA VIDHYALAY,5,206,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24070501714",KRUSHN VIDHYALAY,5,329,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071204141",MOGHIBA PRI SCHOOL,5,135,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203593",NEW IMPERIAL SCHOOL OF EXCELLENCE GUJ,5,298,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203327",NEW KALYAN  PRI SCHOOL,5,2,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203567",R J MEHTA VALABHNAGAR PRI SCHOOL,5,91,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203578",SAURABH PRIMARY SCHOOL,5,142,142,33,63,46,33,63,46
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24070501732",SHREE SWAMINARAYAN GURUKUL INTERNATIONAL SCHHOL(GUJ),5,161,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203348",SUNFLOWER ENGLISH MEDIUM PRI SCHOOL,5,67,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203517",SUPER PRIMARY SCHOOL,5,375,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120004",AMRAIWADI-16,"24071203345",VIDHYA SAGAR PRI SCHOOL,5,243,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203577",AADINATH VIDYALAY PRI SCHOOL,5,47,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203208",AMRAIWADI - 12,10,269,269,67,105,97,72,101,96
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203204",AMRAIWADI - 6,10,345,345,79,131,135,66,145,134
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203330",AMRAIWADI GUJ - 7,10,70,70,46,24,0,46,24,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203312",AMRAIWADI MARATHI - 2,10,67,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203230",GITAPRI. SCHOOL,5,464,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24070506039",GROW MORE SCHOOL,5,251,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24070506043",JIVAN JYOT VIDHYALAY,5,60,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203261",JIVAN PRAKASH VIDHYA VIHAR GUJ PRIMARY DEPARTMENT,5,50,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24070506038",KAMAL VIDHYA MANDIR PRA SALA,5,23,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24070506034",NIKETA KANYA PRIMARY SCHOOL,5,97,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203238",PRATIK VIDHYALAY,5,30,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203350",PRERNA PRIMARY SCHOOL,5,49,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24070506055",RAGHUVIR VIDHYAMANDIR,5,259,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24070506056",RAGHUVIR VIDHYAVIHAR,5,263,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203336",SHRI RAJABHAGAT PRI. SCHOOL,5,164,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203335",ST.LAWRENCE PUBLIC SCHOOL,5,93,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203333",UDGAM VIDHYALAY,5,147,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120005",AMRAIWADI GUJ-7,"24071203575",VARAHI PRIMARY SCHOOL,5,161,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071204105",AMRAIWADI-H.9,10,170,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203610",AMRAIWADI HINDI - 1,10,380,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203236",ANKUR HINDI  VIDHYALAY,5,128,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203916",BAHERAMPURA H-1,10,130,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203140",DWARKADHISH HINDI PRIMARY SCHOOL,5,34,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203016",GOMTIPUR H - 1,10,313,143,43,74,26,34,73,36
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203619",HARIOM HINDI  PRI SCHOOL,5,247,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203775",JIVAN PRAKASH VIDHYA VIHAR UPPER PRIMARY SCHOOL,5,47,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071200128",J.R.TIWARI CITY PRI. SCHOOL,5,175,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203302",KHOKHARA HINDI - 4,10,212,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071204119",MOHRA HINDI PRI. SCHOOL,5,234,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24070501769",NIKETA PRI SCHOOL,5,89,79,17,30,32,15,31,33
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203237",NIKIDEVI VIDHYALAY,5,149,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203108",RAJPUR H - 2,10,135,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203322",RASHTRA BHARTI HINDI PRI SCH,5,300,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203320",RUPAM PRI. SCHOOL,5,77,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203438",SARDAR PATEL PRATHMIK SHALA,5,363,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203240",SHIVAM PRIMARY SCHOOL,5,37,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203133",S.K.TIWARI,5,194,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24070501761",S.M.HINDI VIDYANIKETAN,5,355,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203337",VIDHYABHARTI HINDI PRI. SCHOOL,5,311,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24070501747",VIDHYANAGAR PRI SCHOOL,5,94,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120008",AMRAIWADI-H.9,"24071203220",VIVEKANAND  VIDHYALAY,5,202,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203310",AMRAIWADI HINDI - 4,10,216,3,0,3,0,0,3,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203210",AMRAIWADI HINDI - 5,10,190,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071203211",AMRAIWADI HINDI - 7,10,494,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24070609745",BHAVNA HINDI PRI,5,265,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24071204170",JAY VIDHYA SANKUL(HINDI),5,14,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24070506044",JIVAN JYOT VIDHYALAY HINDI,5,95,0,0,0,0,0,0,0
"2407",AHMEDABAD,"240712",AMC,"2407120006",AMRAIWADI HINDI-4,"24070501749",K.J.PATEL  HINDI PRI SCHOOL,5,47,0,0,0,0,0,0,0
